Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),H2X(49),C2H4(47),C2H6X(52),C2H4X(205),C2H4X(65)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.863562081987375e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,3.3235137245132879e-71,2.5686549165175113e-36,0.0,1.4818090409533546e-54,0.0,5.1750585267427474e-20,-4.339941734191804e-106,5.1750585267426625e-20,1.9892401846536775e-72,2.7679627231761125e-71,0.0,0.0,6.9998218222197403e-55,8.684277721179083e-86,2.8262415304222249e-18,8.367998855045083e-20,3.3499905411270828e-22,7.7913803663211106e-38,2.8850147754294727e-37,3.3499905411185572e-22,1.7257479191936713e-52,1.3407271412945106e-98,2.5777238959260644e-71,2.4146458672156532e-115,1.5640360116556715e-102
1.641797382956465e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,8.1931451069704054e-70,1.5514675695765764e-35,0.0,2.2393098422674008e-53,0.0,1.4490163874879967e-19,8.3783165179795215e-105,1.449016387487945e-19,5.6099756464625162e-71,8.7029176588332383e-70,0.0,0.0,8.3101884506647643e-54,4.4952322928565758e-84,7.9134762851822257e-18,2.3430396794126236e-19,9.3799735151559909e-22,4.7059937309460839e-37,1.7425489243577773e-36,9.379973515104493e-22,2.0488079296667196e-51,1.2626054480400837e-96,7.2695938836404417e-70,4.1172545040292102e-113,1.4729025230598205e-100
3.75267973247192e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,1.6858984655508629e-68,7.4696484972329137e-35,0.0,2.4089473441121614e-52,0.0,3.3120374571155497e-19,8.8466177339432424e-103,3.3120374571153012e-19,1.2202922413168312e-69,1.9415730462776073e-68,0.0,0.0,8.1589922642883332e-53,1.9627943463727949e-82,1.8087945794702216e-17,5.3555192672288529e-19,2.143993946321444e-21,2.2657333950583754e-36,8.3896229669245382e-36,2.1439939462966507e-21,2.011531774612122e-50,1.1035236806070364e-94,1.5812954588002788e-68,7.1959676749774948e-111,1.287324409824034e-98
7.97444443150283e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.1186699660299653,0.022821567693054285,0.0,3.0547732456062068e-67,3.2621917439772315e-34,0.0,2.2142376344318474e-51,0.0,7.0380795963710971e-19,6.9925140271992979e-101,7.038079596370008e-19,2.2622161568038229e-68,3.6363514047618327e-67,0.0,0.0,7.2165361972845709e-52,7.3069912211001347e-81,3.843688481374214e-17,1.1380478442861313e-18,4.5559871359333869e-21,9.8950529053938418e-36,3.66396876477025e-35,4.5559871358251068e-21,1.7791770747718644e-49,8.2326290517632429e-93,2.9314552813338962e-67,1.0747357999644554e-108,9.6038395180905733e-97
1.641797382956465e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996525,0.022821567693054285,0.0,5.1969265202159738e-66,1.3619008367375779e-33,0.0,1.8943269139781958e-50,0.0,1.4490163874883952e-18,4.9560463070458216e-99,1.4490163874879407e-18,3.8881715748537505e-67,6.2808926413852e-66,0.0,0.0,6.0659333970437708e-51,2.5173692654728693e-79,7.9134762851821791e-17,2.3430396794126226e-18,9.3799735151582855e-21,4.1309897263728792e-35,1.5296348339100445e-34,9.3799735147062351e-21,1.4955055348064512e-48,5.6788212281772496e-91,5.0384226385971051e-66,1.4835133051624974e-106,6.6246744945915597e-95
3.3305032625688286e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996517,0.022821567693054285,0.0,8.5720403453751955e-65,5.5638092953735359e-33,0.0,1.5662661251662702e-49,0.0,2.9394332431916704e-18,3.3351919641858401e-97,2.939433243189813e-18,6.4443592403018486e-66,1.0435796684771459e-64,0.0,0.0,4.9732185138187101e-50,8.3542307697174161e-78,1.6053051892798026e-16,4.7530233496656042e-18,1.9027946273612131e-20,1.6876440310731353e-34,6.2490574039793865e-34,1.9027946271765357e-20,1.2261057920729165e-47,3.771333460129191e-89,8.3508160230374159e-65,1.9709775338423909e-104,4.3994793210482529e-93
6.707915021793557e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.118669966029965,0.022821567693054282,0.0,1.3924678624114355e-63,2.2489806748470296e-32,0.0,1.2736616010914863e-48,0.0,5.9202669546010363e-18,2.188341438483631e-95,5.9202669545935291e-18,1.0492968431681554e-64,1.7012981224111381e-63,0.0,0.0,4.0274410111351968e-49,2.7221044655046836e-76,3.2332203108029386e-16,9.5729906901715619e-18,3.8323891790536019e-20,6.8217264951221644e-34,2.5259689164398959e-33,3.8323891783071049e-20,9.9293225935989684e-47,2.4583743110990287e-87,1.3597139085701436e-63,2.5699643618372949e-102,2.8678362812074663e-91
1.3462738540243014e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999921,0.11866996602996467,0.022821567693054278,0.0,2.2448562270462118e-62,9.0430523797961986e-32,0.0,1.027254222833564e-47,0.0,1.1881934377431033e-17,1.4180126849615085e-93,1.1881934377400844e-17,1.6935693353044134e-63,2.7476006144267211e-62,0.0,0.0,3.2416344532605153e-48,8.7895103675611015e-75,6.4890505538490765e-16,1.9212925371183466e-17,7.6915782824448609e-20,2.7429858108736207e-33,1.0156809916210316e-32,7.691578279443228e-20,7.9919826548692839e-46,1.5878172647320107e-85,2.1945837303709413e-62,3.3200216218646929e-100,1.8522809657890723e-89
2.6972385577141923e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999855,0.11866996602996401,0.022821567693054268,0.0,3.6053574013791258e-61,3.6266684647012868e-31,0.0,8.2514645624992236e-47,0.0,2.3805269223136085e-17,9.1316047400306483e-92,2.3805269223015011e-17,2.7215204566895884e-62,4.4166864624599144e-61,0.0,0.0,2.6012067724106314e-47,2.8253095675716426e-73,1.3000711039940819e-15,3.8492794733207205e-17,1.5409956489253292e-19,1.1000596645249273e-32,4.0733350503090366e-32,1.5409956477215404e-19,6.4130627630427879e-45,1.0208530666378404e-83,3.5266371394683204e-61,4.2692275837037804e-98,1.1908843243511482e-87
